time,side,mid,fill,slip_pct,usd
2026-08-30T13:07:01.716303+00:00,buy,78707.45,78707.50,0.0001,1000.00
2026-08-31T03:29:55.284111+00:00,sell,77709.75,77706.77,0.0038,985.31
2026-08-31T16:43:36.797570+00:00,buy,78621.65,78621.70,0.0001,1000.00
2026-09-01T12:01:29.497427+00:00,sell,77980.85,77980.80,0.0001,989.87
